dataset,model,num_params,converged,acc,batch_size,clip_norm,beta,gamma,sigma,eps_comp,eps_actual,delta,success_rate
mnist,lenet,61706,True,0.9874,128,4.0,7.62939453125e-06,496.8138484382254,3.1855753735998977,0.125,843314865.9951217,1e-10,0.58
mnist,lenet,61706,False,0.1,128,4.0,7.62939453125e-06,496.8138484382254,3.1855753735998977,0.125,843314865.9951217,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,4.0,7.62939453125e-06,4968.138484382254,3.1855753735998977,0.125,843314865.9951221,1e-10,0.79
mnist,lenet,61706,False,0.1,128,4.0,7.62939453125e-06,4968.138484382254,3.1855753735998977,0.125,843314865.9951221,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,4.0,7.62939453125e-06,49681.38484382254,3.1855753735998977,0.125,843314865.9951223,1e-10,0.89
mnist,lenet,61706,False,0.1,128,4.0,7.62939453125e-06,49681.38484382254,3.1855753735998977,0.125,843314865.9951223,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,8.0,7.62939453125e-06,496.8138484382254,6.3711507471997955,0.125,843314865.9951217,1e-10,0.58
mnist,lenet,61706,False,0.1,128,8.0,7.62939453125e-06,496.8138484382254,6.3711507471997955,0.125,843314865.9951217,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,8.0,7.62939453125e-06,4968.138484382254,6.3711507471997955,0.125,843314865.9951221,1e-10,0.73
mnist,lenet,61706,False,0.1,128,8.0,7.62939453125e-06,4968.138484382254,6.3711507471997955,0.125,843314865.9951221,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,8.0,7.62939453125e-06,49681.38484382254,6.3711507471997955,0.125,843314865.9951223,1e-10,0.85
mnist,lenet,61706,False,0.1,128,8.0,7.62939453125e-06,49681.38484382254,6.3711507471997955,0.125,843314865.9951223,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,4.0,1.52587890625e-05,496.8138484382254,3.1855753735998977,0.125,210828722.90250513,1e-10,0.69
mnist,lenet,61706,False,0.1,128,4.0,1.52587890625e-05,496.8138484382254,3.1855753735998977,0.125,210828722.90250513,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,4.0,1.52587890625e-05,4968.138484382254,3.1855753735998977,0.125,210828722.90250537,1e-10,0.77
mnist,lenet,61706,False,0.1,128,4.0,1.52587890625e-05,4968.138484382254,3.1855753735998977,0.125,210828722.90250537,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,4.0,1.52587890625e-05,49681.38484382254,3.1855753735998977,0.125,210828722.90250543,1e-10,0.91
mnist,lenet,61706,False,0.1,128,4.0,1.52587890625e-05,49681.38484382254,3.1855753735998977,0.125,210828722.90250543,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,8.0,1.52587890625e-05,496.8138484382254,6.3711507471997955,0.125,210828722.90250513,1e-10,0.64
mnist,lenet,61706,False,0.1,128,8.0,1.52587890625e-05,496.8138484382254,6.3711507471997955,0.125,210828722.90250513,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,8.0,1.52587890625e-05,4968.138484382254,6.3711507471997955,0.125,210828722.90250537,1e-10,0.7
mnist,lenet,61706,False,0.1,128,8.0,1.52587890625e-05,4968.138484382254,6.3711507471997955,0.125,210828722.90250537,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,8.0,1.52587890625e-05,49681.38484382254,6.3711507471997955,0.125,210828722.90250543,1e-10,0.9
mnist,lenet,61706,False,0.1,128,8.0,1.52587890625e-05,49681.38484382254,6.3711507471997955,0.125,210828722.90250543,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,4.0,3.0517578125e-05,496.8138484382254,3.1855753735998977,0.125,52707186.609490626,1e-10,0.59
mnist,lenet,61706,False,0.1,128,4.0,3.0517578125e-05,496.8138484382254,3.1855753735998977,0.125,52707186.609490626,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,4.0,3.0517578125e-05,4968.138484382254,3.1855753735998977,0.125,52707186.60949081,1e-10,0.69
mnist,lenet,61706,False,0.1,128,4.0,3.0517578125e-05,4968.138484382254,3.1855753735998977,0.125,52707186.60949081,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,4.0,3.0517578125e-05,49681.38484382254,3.1855753735998977,0.125,52707186.60949083,1e-10,0.77
mnist,lenet,61706,False,0.1,128,4.0,3.0517578125e-05,49681.38484382254,3.1855753735998977,0.125,52707186.60949083,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,8.0,3.0517578125e-05,496.8138484382254,6.3711507471997955,0.125,52707186.609490626,1e-10,0.62
mnist,lenet,61706,False,0.1,128,8.0,3.0517578125e-05,496.8138484382254,6.3711507471997955,0.125,52707186.609490626,1e-10,0.99
mnist,lenet,61706,True,0.9874,128,8.0,3.0517578125e-05,4968.138484382254,6.3711507471997955,0.125,52707186.60949081,1e-10,0.62
mnist,lenet,61706,False,0.1,128,8.0,3.0517578125e-05,4968.138484382254,6.3711507471997955,0.125,52707186.60949081,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,8.0,3.0517578125e-05,49681.38484382254,6.3711507471997955,0.125,52707186.60949083,1e-10,0.72
mnist,lenet,61706,False,0.1,128,8.0,3.0517578125e-05,49681.38484382254,6.3711507471997955,0.125,52707186.60949083,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,4.0,6.103515625e-05,496.8138484382254,3.1855753735998977,0.125,13176802.016376598,1e-10,0.49
mnist,lenet,61706,False,0.1,128,4.0,6.103515625e-05,496.8138484382254,3.1855753735998977,0.125,13176802.016376598,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,4.0,6.103515625e-05,4968.138484382254,3.1855753735998977,0.125,13176802.016376793,1e-10,0.63
mnist,lenet,61706,False,0.1,128,4.0,6.103515625e-05,4968.138484382254,3.1855753735998977,0.125,13176802.016376793,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,4.0,6.103515625e-05,49681.38484382254,3.1855753735998977,0.125,13176802.016376797,1e-10,0.79
mnist,lenet,61706,False,0.1,128,4.0,6.103515625e-05,49681.38484382254,3.1855753735998977,0.125,13176802.016376797,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,8.0,6.103515625e-05,496.8138484382254,6.3711507471997955,0.125,13176802.016376598,1e-10,0.54
mnist,lenet,61706,False,0.1,128,8.0,6.103515625e-05,496.8138484382254,6.3711507471997955,0.125,13176802.016376598,1e-10,0.99
mnist,lenet,61706,True,0.9874,128,8.0,6.103515625e-05,4968.138484382254,6.3711507471997955,0.125,13176802.016376793,1e-10,0.61
mnist,lenet,61706,False,0.1,128,8.0,6.103515625e-05,4968.138484382254,6.3711507471997955,0.125,13176802.016376793,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,8.0,6.103515625e-05,49681.38484382254,6.3711507471997955,0.125,13176802.016376797,1e-10,0.8
mnist,lenet,61706,False,0.1,128,8.0,6.103515625e-05,49681.38484382254,6.3711507471997955,0.125,13176802.016376797,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,4.0,0.0001220703125,496.8138484382254,3.1855753735998977,0.125,3294205.348237702,1e-10,0.47
mnist,lenet,61706,False,0.1,128,4.0,0.0001220703125,496.8138484382254,3.1855753735998977,0.125,3294205.348237702,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,4.0,0.0001220703125,4968.138484382254,3.1855753735998977,0.125,3294205.348237899,1e-10,0.76
mnist,lenet,61706,False,0.1,128,4.0,0.0001220703125,4968.138484382254,3.1855753735998977,0.125,3294205.348237899,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,4.0,0.0001220703125,49681.38484382254,3.1855753735998977,0.125,3294205.3482379015,1e-10,0.79
mnist,lenet,61706,False,0.1,128,4.0,0.0001220703125,49681.38484382254,3.1855753735998977,0.125,3294205.3482379015,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,8.0,0.0001220703125,496.8138484382254,6.3711507471997955,0.125,3294205.348237702,1e-10,0.53
mnist,lenet,61706,False,0.1,128,8.0,0.0001220703125,496.8138484382254,6.3711507471997955,0.125,3294205.348237702,1e-10,0.98
mnist,lenet,61706,True,0.9874,128,8.0,0.0001220703125,4968.138484382254,6.3711507471997955,0.125,3294205.348237899,1e-10,0.65
mnist,lenet,61706,False,0.1,128,8.0,0.0001220703125,4968.138484382254,6.3711507471997955,0.125,3294205.348237899,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,8.0,0.0001220703125,49681.38484382254,6.3711507471997955,0.125,3294205.3482379015,1e-10,0.76
mnist,lenet,61706,False,0.1,128,8.0,0.0001220703125,49681.38484382254,6.3711507471997955,0.125,3294205.3482379015,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,4.0,0.000244140625,496.8138484382254,3.1855753735998977,0.125,823555.6613425936,1e-10,0.43
mnist,lenet,61706,False,0.1,128,4.0,0.000244140625,496.8138484382254,3.1855753735998977,0.125,823555.6613425936,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,4.0,0.000244140625,4968.138484382254,3.1855753735998977,0.125,823555.6613427906,1e-10,0.53
mnist,lenet,61706,False,0.1,128,4.0,0.000244140625,4968.138484382254,3.1855753735998977,0.125,823555.6613427906,1e-10,0.99
